title;avaliacao;valor;descricao;numero;endereco
RIBEIRAO PRETO - VITTA PARQUE DOS LIRIOS;Valor de avaliação: R$ 149.400,00;Valor mínimo de venda: R$ 87.468,17 ( desconto de 41,45%);Apartamento - 89,2 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771196287-5;AVENIDA GOVERNADOR MARIO COVAS,N. 7555 Apto. 21 TORRE2 BLOCO D 2PAV, , VALENTINA FIGUEIREDO
RIBEIRAO PRETO - VITTA PARQUE DOS LIRIOS;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 89,2 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771655173-3;AVENIDA GOVERNADOR MARIO COVAS,N. 7555 Apto. 13 BL A, TORRE 4, , VALENTINA FIGUEIREDO
RIBEIRAO PRETO - VITTA PARQUE DOS LIRIOS;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 89,2 m2, 2 quarto(s) - Venda Direta Online;878771659712-1;AVENIDA GOVERNADOR MARIO COVAS,N. 7555 Apto. 04 TORRE 02 BL A, , VALENTINA FIGUEIREDO
RIBEIRAO PRETO - VITTA VALENTINA;Valor de avaliação: R$ 157.000,00;Valor mínimo de venda: R$ 90.711,41 ( desconto de 42,22%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770291825-7;RUA TITO BONAGAMBA,N. 350 Apto. 31 TORRE 04, BL D, VITTA VALENTINA, , VALENTINA FIGUEIREDO
RIBEIRAO PRETO - VITTA VALENTINA;Valor de avaliação: R$ 140.000,00;Valor mínimo de venda: R$ 77.866,57 ( desconto de 44,38%);Apartamento - 2 quarto(s) - Venda Direta Online;878770291873-7;RUA TITO BONAGAMBA,N. 350 Apto. 32 TR 01 BL A, , VALENTINA FIGUEIREDO
RIBEIRAO PRETO - VITTA VALENTINA;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 76,85 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770298987-1;RUA TITO BONAGAMBA,N. 350 Apto. 34 TORRE 03 BL C, , VALENTINA FIGUEIREDO
RIBEIRAO PRETO - TOPLIFE ORLANDO;Valor de avaliação: R$ 140.000,00;Valor mínimo de venda: R$ 81.964,82 ( desconto de 41,45%);Apartamento - 94,24 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770842584-8;R MARIA AUXILIA ABRANCHES FARIA,N. 565 Apto. 33 BL G TORRE 4, , VILA ABRANCHES
RIBEIRAO PRETO - TOPLIFE ORLANDO;Valor de avaliação: R$ 180.000,00;Valor mínimo de venda: R$ 106.667,03 ( desconto de 40,74%);Apartamento - 109,02 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770654617-6;RUA MARIA AUXILIA ABRANCHES FARIA,N. 565 Apto. 03 BL J TORRE 5, , VILA ABRANCHES
RIBEIRAO PRETO - TOPLIFE ORLANDO;Valor de avaliação: R$ 146.000,00;Valor mínimo de venda: R$ 85.477,60 ( desconto de 41,45%);Apartamento - 94,24 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770676960-4;RUA MARIA AUXILIA ABRANCHES FARIA,N. 565 Apto. 22 BLE, TORRE 3, , VILA ABRANCHES
RIBEIRAO PRETO - TOPLIFE ORLANDO;Valor de avaliação: R$ 142.000,00;Valor mínimo de venda: R$ 83.135,75 ( desconto de 41,45%);Apartamento - 94,24 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770680212-1;RUA MARIA AUXILIA ABRANCHES FARIA,N. 565 Apto. 32 BL J TORRE 05, , VILA ABRANCHES
RIBEIRAO PRETO - TOPLIFE ORLANDO;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 94,24 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770806008-4;RUA MARIA AUXILIA ABRANCHES FARIA,N. 565 Apto. 33 BL E TORRE 3, , VILA ABRANCHES
RIBEIRAO PRETO - TOPLIFE ORLANDO;Valor de avaliação: R$ 160.000,00;Valor mínimo de venda: R$ 94.815,14 ( desconto de 40,74%);Apartamento - 94,24 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770810856-7;RUA MARIA AUXILIA ABRANCHES FARIA,N. 565 Apto. 13 BL F TORRE 03, , VILA ABRANCHES
RIBEIRAO PRETO - TOPLIFE ORLANDO;Valor de avaliação: R$ 168.000,00;Valor mínimo de venda: R$ 99.555,89 ( desconto de 40,74%);Apartamento - 94,24 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770863031-0;RUA MARIA AUXILIA ABRANCHES FARIA,N. 565 Apto. 34 BL C TORRE 2, , VILA ABRANCHES
RIBEIRAO PRETO - VILA ABRANCHES;Valor de avaliação: R$ 156.000,00;Valor mínimo de venda: R$ 92.444,76 ( desconto de 40,74%);Apartamento - 94,24 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770880682-5;RUA MARIA AUXILIA ABRANCHES FARIA,N. 565 Apto. 23 3 PAVIMENTO BL D TORRE 2,
RIBEIRAO PRETO - TOPLIFE ORLANDO;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 94,24 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770882973-6;RUA MARIA AUXILIA ABRANCHES FARIA,N. 565 Apto. 13 BL J TORRE 05, , VILA ABRANCHES
RIBEIRAO PRETO - CONDOMÍNIO EDIFÍCIO GENEBRA;Valor de avaliação: R$ 500.000,00;Valor mínimo de venda: R$ 318.657,15 ( desconto de 36,27%);Sala - 1 vaga(s) na garagem - Venda Direta Online;000001021606-4;RUA ERCOLE VERRI,N. 449 SL 51, , VILA ANA MARIA
RIBEIRAO PRETO - VILA RECREIO;Valor de avaliação: R$ 165.000,00;Valor mínimo de venda: R$ 101.904,73 ( desconto de 38,24%);Casa - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;844440274067-0;RUA MATO GROSSO,N. 2134 QD 17 LT 01 E 02,
